team_name,display_name,country_code,flag_emoji
墨西哥,墨西哥,MX,🇲🇽
南非,南非,ZA,🇿🇦
韩国,韩国,KR,🇰🇷
捷克,捷克,CZ,🇨🇿
加拿大,加拿大,CA,🇨🇦
波黑,波黑,BA,🇧🇦
美国,美国,US,🇺🇸
巴拉圭,巴拉圭,PY,🇵🇾
卡塔尔,卡塔尔,QA,🇶🇦
瑞士,瑞士,CH,🇨🇭
巴西,巴西,BR,🇧🇷
摩洛哥,摩洛哥,MA,🇲🇦
海地,海地,HT,🇭🇹
苏格兰,苏格兰,GB,🏴
澳大利亚,澳大利亚,AU,🇦🇺
土耳其,土耳其,TR,🇹🇷
德国,德国,DE,🇩🇪
库拉索,库拉索,CW,🇨🇼
荷兰,荷兰,NL,🇳🇱
日本,日本,JP,🇯🇵
科特迪瓦,科特迪瓦,CI,🇨🇮
厄瓜多尔,厄瓜多尔,EC,🇪🇨
瑞典,瑞典,SE,🇸🇪
突尼斯,突尼斯,TN,🇹🇳
比利时,比利时,BE,🇧🇪
埃及,埃及,EG,🇪🇬
沙特阿拉伯,沙特阿拉伯,SA,🇸🇦
乌拉圭,乌拉圭,UY,🇺🇾
伊朗,伊朗,IR,🇮🇷
新西兰,新西兰,NZ,🇳🇿
法国,法国,FR,🇫🇷
塞内加尔,塞内加尔,SN,🇸🇳
阿根廷,阿根廷,AR,🇦🇷
阿尔及利亚,阿尔及利亚,DZ,🇩🇿
加纳,加纳,GH,🇬🇭
巴拿马,巴拿马,PA,🇵🇦
乌兹别克,乌兹别克,UZ,🇺🇿
哥伦比亚,哥伦比亚,CO,🇨🇴
Netherlands,荷兰,NL,🇳🇱
Uzbekistan,乌兹别克,UZ,🇺🇿
France,法国,FR,🇫🇷
